n,SGD,Bayes,split
323,1.7873589600000002,1.4979103200000001,1.80091188
324,1.7871782500000002,1.50111325,1.80570975
325,1.7870374599999999,1.50142234,1.80739942
326,1.78688169,1.5020581499999999,1.80829692
327,1.7867537599999999,1.5047262399999999,1.80911024
328,1.78664108,1.50457293,1.8101119399999999
329,1.7865111,1.5050211,1.8113271
330,1.78638714,1.50546413,1.81349935
331,1.78623636,1.5036578800000002,1.81275984
332,1.78608213,1.50488028,1.8159455700000002
333,1.78597148,1.5068643800000001,1.76693348
334,1.7858816499999999,1.5066122499999999,1.76563425
335,1.7857896000000002,1.5084652799999998,1.76627472
336,1.78567875,1.50693257,1.76706287
337,1.78559316,1.50953504,1.7678752
338,1.78548249,1.50832965,1.7664612
339,1.785391,1.5086208,1.7693634
340,1.7852782200000001,1.50638796,1.76849079
341,1.7851887,1.50692382,1.76886846
342,1.78505775,1.5050291199999999,1.7682336
343,1.78491624,1.5061076800000002,1.76896496
344,1.7848023000000002,1.5082227000000001,1.7693325
345,1.78465762,1.50588888,1.77103906
346,1.7845377199999999,1.50785727,1.7749952199999999
347,1.7843943599999998,1.5085069199999999,1.77556212
348,1.78425203,1.50692616,1.77565267
349,1.7841144999999998,1.5069564999999998,1.7756375
350,1.78403121,1.5087980699999999,1.77887502
351,1.7839359999999997,1.51000256,1.7806518400000002
352,1.7838149,1.5086867,1.77770094
353,1.78370334,1.5095657400000002,1.77868362
354,1.7836123,1.5115864499999998,1.78294845
355,1.78351728,1.51254076,1.78573872
356,1.7834256300000002,1.51450824,1.7898444900000001
357,1.78333762,1.5146622,1.7934905
358,1.78331455,1.5175289,1.7966119100000002
359,1.7832564,1.5157512000000002,1.7951291999999999
360,1.7832317,1.51865841,1.79784498
361,1.78321562,1.51959636,1.79744222
362,1.7832302400000002,1.52201907,1.8001387800000002
363,1.78326148,1.5244174400000001,1.8036527599999999
364,1.78326225,1.5244699499999999,1.75697495
365,1.78323618,1.52300652,1.75632786
